"POPCTRRAuid","POPCTRRAdguid","POPCTRRAname","POPCTRRAtype","POPCTRRAclass","POPCTRRApop_2021","POPCTRRAtdwell_2021","POPCTRRAurdwell_2021","POPCTRRApop_2016","POPCTRRApop_2016a","POPCTRRAtdwell_2016a","POPCTRRAurdwell_2016a","POPCTRRAarea","POPCTRRAadj_2016","POPCTRRAir_2016","POPCTRRAir_2021","PRuid","XPRuid","CMAuid"
"1148","2021S05101148","Saint-Cyrille-de-Wendover","2","2",1315,545,522,1216,1216,502,493,"0.9406","0","0","0","24",,"447"
"1151","2021S05101151","Jarvis","4","2",1214,439,427,1037,1084,400,397,"0.5621","1","0","0","35",,
"1153","2021S05101153","Lumsden","2","2",1800,732,700,1824,1824,722,695,"4.0858","0","0","0","47",,"705"
"1154","2021S05101154","Sainte-Justine","4","2",1079,483,454,1077,1077,482,453,"1.1783","0","0","0","24",,
"1158","2021S05101158","St. Leonard","4","2",1043,506,453,1099,1119,529,482,"2.0091","1","0","0","13",,
"1159","2021S05101159","Wellington","4","2",1526,955,819,,1353,791,699,"3.2989","1","0","0","35",,
"1164","2021S05101164","Sundre","4","2",1781,803,752,1866,1866,805,766,"2.3719","0","0","0","48",,
"1165","2021S05101165","Tofield","4","2",1811,804,748,1854,1854,800,759,"1.2211","0","0","0","48",,
"1170","2021S05101170","Dutton","4","2",1658,687,668,1368,1454,564,556,"1.9964","1","0","0","35",,
"1171","2021S05101171","Salmo","4","2",1140,599,568,1141,1141,572,547,"2.4442","0","0","0","59",,
"1173","2021S05101173","Blackfalds","4","2",10315,3895,3727,8749,9161,3487,3238,"8.9275","1","0","0","48",,
"1174","2021S05101174","Jasper","4","2",4029,1776,1586,3948,3948,1567,1491,"1.8406","0","0","0","48",,
"1175","2021S05101175","Lumby","4","2",1484,627,607,1303,1303,624,563,"1.1426","0","0","0","59",,
"1176","2021S05101176","Southampton","4","2",3993,2588,1888,3678,3678,2459,1724,"6.4334","0","0","0","35",,
"1177","2021S05101177","Châteauguay","6","3",75891,30928,30221,71164,71164,29155,28227,"50.4811","0","0","0","24",,"462"
